gameWeek,predictTeam,predict_proba,probaGuess,favorite,lineGuess,Line
15,Cincinnati Bengals,0.694658724254,10.0,Cincinnati Bengals,10.0,-4.5
15,Carolina Panthers,0.725120029356,12.0,Carolina Panthers,11.0,-5.0
15,Minnesota Vikings,0.749149910038,13.0,Minnesota Vikings,12.0,5.5
15,Pittsburgh Steelers,0.702570583883,11.0,Pittsburgh Steelers,13.0,6.0
15,Kansas City Chiefs,0.772123932868,14.0,Kansas City Chiefs,14.0,-7.5
15,New England Patriots,0.933182428871,16.0,New England Patriots,15.0,14.0
15,Seattle Seahawks,0.931753021953,15.0,Seattle Seahawks,16.0,14.5
16,Indianapolis Colts,0.472009204172,1.0,Miami Dolphins,1.0,1.5
16,New England Patriots,0.588607778525,6.0,New England Patriots,2.0,-3.0
16,Tampa Bay Buccaneers,0.520343461094,2.0,Tampa Bay Buccaneers,3.0,3.0
16,Philadelphia Eagles,0.547835295641,4.0,Philadelphia Eagles,4.0,3.0
16,New Orleans Saints,0.545752178472,3.0,New Orleans Saints,5.0,3.5
16,Denver Broncos,0.614211091091,7.0,Denver Broncos,6.0,3.5
16,Arizona Cardinals,0.714123559965,8.0,Arizona Cardinals,7.0,4.5
16,Tennessee Titans,0.581634084655,5.0,Tennessee Titans,8.0,4.5
16,Oakland Raiders,0.743864502201,11.0,Oakland Raiders,9.0,5.5
16,Buffalo Bills,0.737741770943,10.0,Buffalo Bills,10.0,6.0
16,Minnesota Vikings,0.724980552689,9.0,Minnesota Vikings,11.0,6.0
16,Carolina Panthers,0.797121927481,13.0,Carolina Panthers,12.0,-7.0
16,Detroit Lions,0.794683815137,12.0,Detroit Lions,13.0,9.0
16,Pittsburgh Steelers,0.857109872408,14.0,Pittsburgh Steelers,14.0,-10.0
16,Kansas City Chiefs,0.908896549584,15.0,Kansas City Chiefs,15.0,12.5
16,Seattle Seahawks,0.914105008288,16.0,Seattle Seahawks,16.0,13.5
17,Chicago Bears,0.524298405471,2.0,Chicago Bears,1.0,1.0
17,New York Jets,0.602402991351,3.0,New York Jets,2.0,-3.0
17,Green Bay Packers,0.604933005187,5.0,Green Bay Packers,3.0,3.0
17,Los Angeles Rams,0.602622012917,4.0,Los Angeles Rams,4.0,-3.5
17,Dallas Cowboys,0.518779549565,1.0,Dallas Cowboys,5.0,3.5
17,New York Giants,0.622340294353,6.0,New York Giants,6.0,3.5
17,Atlanta Falcons,0.656125158955,7.0,Atlanta Falcons,7.0,4.0
17,Indianapolis Colts,0.745948442846,9.0,Indianapolis Colts,8.0,6.0
17,Houston Texans,0.743722981264,8.0,Houston Texans,9.0,6.0
17,Kansas City Chiefs,0.767155324679,10.0,Kansas City Chiefs,10.0,6.5
17,Arizona Cardinals,0.811408225951,11.0,Arizona Cardinals,11.0,6.5
17,Cincinnati Bengals,0.883427918694,14.0,Cincinnati Bengals,12.0,9.0
17,Denver Broncos,0.886708794447,15.0,Denver Broncos,13.0,9.0
17,Pittsburgh Steelers,0.874856546012,12.0,Pittsburgh Steelers,14.0,-10.5
17,New England Patriots,0.8769890873,13.0,New England Patriots,15.0,-10.5
17,Carolina Panthers,0.900338489167,16.0,Carolina Panthers,16.0,10.5
